transaction_id,store_type,category,customer_type,gender,payment_method,day_of_week,month,is_weekend,quantity,unit_price,discount_pct,discount_amount,subtotal,tax_amount,total_sales
TXN00001,Convenience,Personal,Normal,Male,GCash,Monday,4,0,29,310.13,10,899.38,8094.39,971.33,9065.72
TXN00002,Supermarket,Beverages,Member,Male,GCash,Tuesday,8,0,18,481.09,0,0.0,8659.62,1039.15,9698.77
TXN00003,Convenience,Beverages,Normal,Female,E-Wallet,Thursday,6,0,12,276.38,0,0.0,3316.56,397.99,3714.55
TXN00004,Convenience,Staples,Member,Female,Cash,Sunday,1,1,13,87.31,5,56.75,1078.28,129.39,1207.67
TXN00005,Supermarket,Household,Normal,Female,GCash,Thursday,1,0,41,329.0,5,674.45,12814.55,1537.75,14352.3
TXN00006,Supermarket,Staples,Member,Female,Cash,Tuesday,9,0,2,203.1,15,60.93,345.27,41.43,386.7
TXN00007,Convenience,Snacks,Member,Female,E-Wallet,Monday,10,0,37,435.17,10,1610.13,14491.16,1738.94,16230.1
TXN00008,Hypermarket,Staples,Normal,Male,Credit Card,Wednesday,6,0,45,245.61,5,552.62,10499.83,1259.98,11759.81
TXN00009,Convenience,Canned,Normal,Male,Credit Card,Thursday,10,0,16,136.78,0,0.0,2188.48,262.62,2451.1
TXN00010,Convenience,Staples,Normal,Male,Credit Card,Thursday,8,0,48,136.0,0,0.0,6528.0,783.36,7311.36
TXN00011,Convenience,Canned,Member,Female,GCash,Saturday,7,1,24,395.94,10,950.26,8552.3,1026.28,9578.58
TXN00012,Convenience,Personal,Member,Male,Credit Card,Wednesday,12,0,35,169.51,5,296.64,5636.21,676.35,6312.56
TXN00013,Supermarket,Bakery,Member,Male,GCash,Tuesday,6,0,22,395.26,10,869.57,7826.15,939.14,8765.29
TXN00014,Convenience,Beverages,Normal,Male,E-Wallet,Sunday,4,1,36,142.65,0,0.0,5135.4,616.25,5751.65
TXN00015,Hypermarket,Canned,Member,Male,E-Wallet,Monday,7,0,11,194.76,10,214.24,1928.12,231.37,2159.49
TXN00016,Supermarket,Household,Member,Male,GCash,Saturday,9,1,46,259.47,20,2387.12,9548.5,1145.82,10694.32
TXN00017,Hypermarket,Staples,Normal,Female,Cash,Tuesday,11,0,29,474.44,0,0.0,13758.76,1651.05,15409.81
TXN00018,Hypermarket,Canned,Member,Male,Credit Card,Friday,10,0,35,469.28,5,821.24,15603.56,1872.43,17475.99
TXN00019,Hypermarket,Household,Member,Female,Credit Card,Sunday,10,1,48,143.09,30,2060.5,4807.82,576.94,5384.76
TXN00020,Hypermarket,Bakery,Normal,Female,Credit Card,Thursday,7,0,15,211.2,5,158.4,3009.6,361.15,3370.75
TXN00021,Supermarket,Bakery,Member,Female,GCash,Friday,1,0,31,117.23,10,363.41,3270.72,392.49,3663.21
TXN00022,Supermarket,Staples,Normal,Female,E-Wallet,Thursday,10,0,42,279.49,0,0.0,11738.58,1408.63,13147.21
TXN00023,Hypermarket,Snacks,Normal,Female,Credit Card,Thursday,9,0,41,257.26,10,1054.77,9492.89,1139.15,10632.04
TXN00024,Hypermarket,Staples,Normal,Male,E-Wallet,Friday,4,0,43,455.34,0,0.0,19579.62,2349.55,21929.17
TXN00025,Supermarket,Personal,Normal,Male,Credit Card,Sunday,3,1,16,468.5,30,2248.8,5247.2,629.66,5876.86
TXN00026,Supermarket,Canned,Normal,Female,Credit Card,Friday,4,0,10,222.61,15,333.92,1892.19,227.06,2119.25
TXN00027,Supermarket,Beverages,Member,Female,GCash,Tuesday,4,0,49,271.28,15,1993.91,11298.81,1355.86,12654.67
TXN00028,Convenience,Snacks,Member,Female,Cash,Saturday,10,1,32,453.31,15,2175.89,12330.03,1479.6,13809.63
TXN00029,Convenience,Staples,Normal,Male,GCash,Saturday,11,1,2,413.02,10,82.6,743.44,89.21,832.65
TXN00030,Convenience,Household,Normal,Female,Credit Card,Friday,2,0,24,51.65,5,61.98,1177.62,141.31,1318.93
TXN00031,Hypermarket,Snacks,Member,Male,Credit Card,Tuesday,12,0,23,194.03,20,892.54,3570.15,428.42,3998.57
TXN00032,Convenience,Canned,Normal,Female,Cash,Saturday,1,1,2,239.8,30,143.88,335.72,40.29,376.01
TXN00033,Hypermarket,Snacks,Normal,Male,E-Wallet,Tuesday,12,0,38,153.37,5,291.4,5536.66,664.4,6201.06
TXN00034,Hypermarket,Canned,Normal,Female,E-Wallet,Tuesday,10,0,31,139.81,25,1083.53,3250.58,390.07,3640.65
TXN00035,Convenience,Staples,Member,Male,Credit Card,Thursday,12,0,40,67.0,10,268.0,2412.0,289.44,2701.44
TXN00036,Hypermarket,Canned,Member,Female,E-Wallet,Saturday,1,1,26,339.52,10,882.75,7944.77,953.37,8898.14
TXN00037,Convenience,Snacks,Normal,Male,Credit Card,Saturday,8,1,29,168.13,5,243.79,4631.98,555.84,5187.82
TXN00038,Convenience,Household,Normal,Male,Cash,Thursday,2,0,3,73.56,0,0.0,220.68,26.48,247.16
TXN00039,Supermarket,Bakery,Member,Male,Cash,Friday,12,0,14,153.94,0,0.0,2155.16,258.62,2413.78
TXN00040,Convenience,Snacks,Member,Male,Credit Card,Thursday,10,0,25,410.86,0,0.0,10271.5,1232.58,11504.08
TXN00041,Supermarket,Canned,Normal,Male,Cash,Saturday,5,1,48,433.17,10,2079.22,18712.94,2245.55,20958.49
TXN00042,Convenience,Bakery,Normal,Male,GCash,Saturday,12,1,1,267.38,5,13.37,254.01,30.48,284.49
TXN00043,Convenience,Canned,Member,Male,GCash,Sunday,4,1,3,237.23,5,35.58,676.11,81.13,757.24
TXN00044,Supermarket,Household,Member,Female,Cash,Friday,8,0,26,490.03,30,3822.23,8918.55,1070.23,9988.78
TXN00045,Supermarket,Canned,Member,Female,Credit Card,Thursday,2,0,18,140.25,5,126.22,2398.28,287.79,2686.07
TXN00046,Convenience,Staples,Normal,Female,Credit Card,Monday,10,0,9,146.91,5,66.11,1256.08,150.73,1406.81
TXN00047,Hypermarket,Beverages,Member,Female,Cash,Monday,9,0,38,181.34,0,0.0,6890.92,826.91,7717.83
TXN00048,Supermarket,Snacks,Normal,Female,E-Wallet,Friday,7,0,23,127.74,0,0.0,2938.02,352.56,3290.58
TXN00049,Hypermarket,Beverages,Member,Male,GCash,Thursday,7,0,21,220.71,15,695.24,3939.67,472.76,4412.43
TXN00050,Hypermarket,Canned,Member,Male,E-Wallet,Thursday,1,0,1,459.88,10,45.99,413.89,49.67,463.56
TXN00051,Hypermarket,Household,Member,Male,Credit Card,Tuesday,12,0,21,326.91,15,1029.77,5835.34,700.24,6535.58
TXN00052,Supermarket,Snacks,Member,Male,Credit Card,Saturday,2,1,27,235.38,0,0.0,6355.26,762.63,7117.89
TXN00053,Hypermarket,Canned,Normal,Male,E-Wallet,Wednesday,4,0,42,470.48,10,1976.02,17784.14,2134.1,19918.24
TXN00054,Supermarket,Bakery,Normal,Female,Cash,Sunday,4,1,6,71.81,0,0.0,430.86,51.7,482.56
TXN00055,Hypermarket,Personal,Member,Female,E-Wallet,Friday,11,0,44,144.62,0,0.0,6363.28,763.59,7126.87
TXN00056,Convenience,Canned,Normal,Female,E-Wallet,Wednesday,3,0,36,304.65,0,0.0,10967.4,1316.09,12283.49
TXN00057,Convenience,Beverages,Member,Female,GCash,Wednesday,7,0,28,327.0,0,0.0,9156.0,1098.72,10254.72
TXN00058,Supermarket,Snacks,Member,Male,GCash,Friday,12,0,45,67.8,5,152.55,2898.45,347.81,3246.26
TXN00059,Convenience,Beverages,Member,Male,E-Wallet,Thursday,8,0,17,231.37,0,0.0,3933.29,471.99,4405.28
TXN00060,Convenience,Snacks,Member,Male,E-Wallet,Friday,2,0,40,342.12,30,4105.44,9579.36,1149.52,10728.88
TXN00061,Hypermarket,Canned,Normal,Female,Credit Card,Wednesday,4,0,3,364.13,5,54.62,1037.77,124.53,1162.3
TXN00062,Supermarket,Staples,Member,Male,GCash,Saturday,3,1,12,337.16,0,0.0,4045.92,485.51,4531.43
TXN00063,Hypermarket,Bakery,Member,Female,GCash,Sunday,2,1,39,194.25,0,0.0,7575.75,909.09,8484.84
TXN00064,Hypermarket,Canned,Normal,Male,Credit Card,Sunday,12,1,12,92.08,10,110.5,994.46,119.34,1113.8
TXN00065,Hypermarket,Beverages,Member,Male,Cash,Saturday,6,1,2,242.2,0,0.0,484.4,58.13,542.53
TXN00066,Hypermarket,Personal,Member,Female,GCash,Saturday,4,1,46,107.94,20,993.05,3972.19,476.66,4448.85
TXN00067,Hypermarket,Personal,Member,Male,GCash,Thursday,6,0,22,476.43,30,3144.44,7337.02,880.44,8217.46
TXN00068,Hypermarket,Household,Normal,Male,Cash,Monday,2,0,23,263.83,0,0.0,6068.09,728.17,6796.26
TXN00069,Hypermarket,Snacks,Member,Female,GCash,Friday,12,0,30,192.77,5,289.15,5493.94,659.27,6153.21
TXN00070,Supermarket,Beverages,Normal,Male,GCash,Sunday,4,1,5,394.84,0,0.0,1974.2,236.9,2211.1
TXN00071,Convenience,Household,Member,Female,Cash,Saturday,11,1,9,274.08,10,246.67,2220.05,266.41,2486.46
TXN00072,Hypermarket,Beverages,Member,Male,Cash,Friday,6,0,21,189.52,5,199.0,3780.92,453.71,4234.63
TXN00073,Hypermarket,Snacks,Normal,Male,E-Wallet,Sunday,5,1,11,415.39,0,0.0,4569.29,548.31,5117.6
TXN00074,Hypermarket,Canned,Member,Male,Credit Card,Saturday,3,1,5,440.22,0,0.0,2201.1,264.13,2465.23
TXN00075,Hypermarket,Canned,Member,Male,Credit Card,Sunday,8,1,35,352.85,10,1234.97,11114.78,1333.77,12448.55
TXN00076,Hypermarket,Personal,Normal,Male,Cash,Thursday,7,0,27,71.13,5,96.03,1824.48,218.94,2043.42
TXN00077,Hypermarket,Canned,Normal,Male,Cash,Monday,3,0,49,304.85,0,0.0,14937.65,1792.52,16730.17
TXN00078,Convenience,Canned,Normal,Male,GCash,Monday,6,0,2,393.48,10,78.7,708.26,84.99,793.25
TXN00079,Convenience,Staples,Normal,Male,E-Wallet,Saturday,4,1,24,111.43,10,267.43,2406.89,288.83,2695.72
TXN00080,Hypermarket,Personal,Normal,Female,E-Wallet,Sunday,11,1,31,152.9,20,947.98,3791.92,455.03,4246.95
TXN00081,Convenience,Household,Member,Female,Cash,Thursday,5,0,33,447.12,0,0.0,14754.96,1770.6,16525.56
TXN00082,Supermarket,Bakery,Normal,Male,GCash,Tuesday,11,0,39,59.05,15,345.44,1957.51,234.9,2192.41
TXN00083,Hypermarket,Staples,Member,Male,GCash,Friday,5,0,30,388.73,10,1166.19,10495.71,1259.49,11755.2
TXN00084,Supermarket,Household,Member,Female,Credit Card,Friday,7,0,46,263.2,0,0.0,12107.2,1452.86,13560.06
TXN00085,Supermarket,Snacks,Member,Male,Credit Card,Wednesday,11,0,37,251.05,10,928.88,8359.96,1003.2,9363.16
TXN00086,Hypermarket,Staples,Normal,Male,GCash,Thursday,5,0,28,53.19,5,74.47,1414.85,169.78,1584.63
TXN00087,Convenience,Household,Normal,Female,Credit Card,Sunday,11,1,31,418.73,25,3245.16,9735.47,1168.26,10903.73
TXN00088,Supermarket,Snacks,Member,Male,Cash,Wednesday,3,0,11,211.92,0,0.0,2331.12,279.73,2610.85
TXN00089,Hypermarket,Personal,Normal,Male,GCash,Saturday,10,1,23,293.34,10,674.68,6072.14,728.66,6800.8
TXN00090,Supermarket,Bakery,Normal,Female,Credit Card,Sunday,5,1,2,354.79,5,35.48,674.1,80.89,754.99
TXN00091,Supermarket,Snacks,Normal,Male,E-Wallet,Wednesday,7,0,40,366.18,30,4394.16,10253.04,1230.36,11483.4
TXN00092,Supermarket,Canned,Normal,Male,GCash,Monday,5,0,41,480.19,5,984.39,18703.4,2244.41,20947.81
